"";"OPK";"AVT";"GPN";"SDRL";"LEG";"ITC";"TEG";"IEX";"CSGP";"CSL"
"2013-06-11";6.58;32.93;47.69;34.97;29.9;28.84;53.25;52.86;115.58;64.92
"2013-06-12";6.68;32.53;47.6;34.8;29.89;28.06;52.78;51.94;115.56;63.84
"2013-06-13";6.8;32.94;48.33;35.08;30.57;28.36;53.65;52.5;115.39;64.82
"2013-06-14";6.83;33.27;48.06;35.4;30.56;28.46;53.74;52.53;115.59;64.65
"2013-06-17";7.07;33.51;48.28;35.87;30.81;28.57;53.96;52.45;118.45;64.74
"2013-06-18";7.14;33.45;48.8;36.05;31.04;28.72;54.12;52.65;124.2;65.17
"2013-06-19";7.06;33.19;47.87;35.96;30.4;28.42;52.63;52.62;121.82;64.26
"2013-06-20";6.98;32.68;46.62;34.84;29.21;27.63;51.99;51.25;121.3;62.18
"2013-06-21";7.02;32.34;45.77;34.77;28.95;28.41;53.19;50.6;124.63;61.44
"2013-06-24";6.92;31.87;45.71;33.8;28.49;28.69;53.18;50.12;125.04;60.17
"2013-06-25";6.94;32.32;45.91;34.81;28.86;28.83;53.64;50.91;125.7;60.98
"2013-06-26";6.99;32.48;46.22;35.25;29.16;29.35;54.41;51.25;128.03;60.67
"2013-06-27";7.16;33.09;46.84;35.91;29.53;29.34;54.62;52.4;129.51;61.53
"2013-06-28";7.1;32.88;46.22;36.07;29.44;29.65;54.71;52.41;129.07;61.06
"2013-07-01";7.4;33.53;46.63;35.99;29.6;29.38;53.95;53.3;131.03;62.24
"2013-07-02";7.28;33.24;46.49;35.85;29.25;29.3;53.87;52.91;131.88;61.09
"2013-07-03";7.18;33.51;46.36;35.69;29.35;29.35;53.87;53.04;132.48;60.77
"2013-07-05";7.25;34.24;46.91;36.21;29.61;29.41;53.56;54.24;135.59;61.8
"2013-07-08";7.31;33.77;47.44;36.6;29.33;29.79;54.51;54.44;137.31;61.9
"2013-07-09";7.21;34.24;47.63;36.77;30;30.23;55.17;55.2;137;63.28
"2013-07-10";7.22;34.46;47.64;36.73;30.08;29.97;55.6;55.36;135.9;63.34
"2013-07-11";7.31;34.78;47.98;37.22;30.62;30.22;56.31;56.37;136.4;63.56
"2013-07-12";7.46;34.96;47.92;37.32;30.55;30.21;56.46;56.72;133.19;63.58
"2013-07-15";7.39;35.2;47.89;37.36;30.48;30.83;57.39;56.75;136.55;64.01
"2013-07-16";7.44;35.09;47.71;37.54;30.1;30.91;57.31;56.47;136.74;63.4
"2013-07-17";7.48;35.62;47.84;37.92;30.31;30.76;57.55;56.62;136.67;63.68
"2013-07-18";7.67;35.61;48.18;37.92;30.23;30.97;58.32;57.57;136.78;64.34
"2013-07-19";7.72;35.71;48.24;38.3;30.24;30.72;58.33;57.31;137.27;64.98
"2013-07-22";7.72;35.81;48.89;38.15;30.08;30.95;58.24;56.78;136.74;64.85
"2013-07-23";7.72;36.17;49.31;38.23;30.26;31.09;58.81;58.28;135.11;66.73
"2013-07-24";7.57;36.73;48.84;37.68;29.85;30.46;58.04;57.73;133.97;66.56
"2013-07-25";7.64;37.18;48.58;37.38;30.02;30.33;58.55;58.13;157.02;66.75
"2013-07-26";7.68;36.47;46.07;37.27;29.08;30.02;58.71;57.8;160.06;66.18
"2013-07-29";7.61;36.34;45.79;37.29;29.12;30.06;58.69;57.77;156.76;65.66
"2013-07-30";7.5;36.71;46.75;37.22;29.44;30.2;58.81;58;157.48;65.72
"2013-07-31";7.45;36.86;46.21;37.79;29.74;29.8;58.7;58.33;156.55;66.38
"2013-08-01";7.53;38.27;48.4;38.3;30.16;30;59.2;60.02;159.19;67.86
"2013-08-02";7.52;37.98;48.13;39.11;30.22;30.15;59.4;59.95;159.56;68
"2013-08-05";7.46;37.97;48.26;39.21;30.03;29.86;58.9;60.21;161.37;67.52
"2013-08-06";7.42;37.74;48.36;38.75;29.55;29.73;58.95;59.8;162.72;66.91
"2013-08-07";7.44;37.46;47.6;38.93;29.14;29.7;58.55;59.26;162.41;66.37
"2013-08-08";7.49;38.2;47.84;38.93;29.34;30.15;58.29;59.16;161.76;66.95
"2013-08-09";7.49;37.98;47.63;38.91;29.27;29.89;58.13;59.21;160.89;66.93
"2013-08-12";7.77;38.15;47.52;39.07;29.32;29.61;57.65;59.84;162.82;67.14
"2013-08-13";7.74;38.99;47.54;39.34;29.14;28.99;57.33;60.17;161.53;67.31
"2013-08-14";7.88;38.75;47.91;39.12;28.71;28.59;56.69;59.78;159.79;66.91
"2013-08-15";7.85;37.74;47.64;38.92;28.27;28.63;55.31;59.12;153.67;65.96
"2013-08-16";7.92;38.04;47.9;38.67;28.65;28.11;54.89;58.9;154.65;65.84
"2013-08-19";8.19;38.36;47.84;38.6;28.22;28.03;54.04;58.7;152.33;65.86
"2013-08-20";8.56;38.9;48.29;38.39;28.27;28.58;54.23;58.96;153.83;66.36
"2013-08-21";8.42;37.96;48.3;38.11;27.8;28.58;53.35;58.78;151.71;65.91
"2013-08-22";8.56;38.62;48.81;37.87;27.93;29.28;53.47;59.53;153;67.04
"2013-08-23";8.5;38.53;48.88;38.61;28.09;29.02;53.77;59.72;152.54;67.16
"2013-08-26";8.77;38.73;48.93;38.92;28.09;28.82;53.58;59.91;150.76;67.24
"2013-08-27";8.5;37.52;47.92;38.72;27.52;28.94;53.45;58.3;149.42;65.77
"2013-08-28";8.58;38.37;48.08;40.24;27.49;29.07;53.6;58.86;149.94;66.02
"2013-08-29";8.49;38.87;47.97;40.81;27.61;29.14;53.31;58.9;150.78;66.16
"2013-08-30";9.24;37.73;47.57;40.96;27.38;29;52.9;58.06;148.51;65.47
"2013-09-03";9.19;37.56;47.77;41.63;27.32;28.84;51.64;58.24;152.08;65.54
"2013-09-04";8.6;38.82;47.87;41.57;27.61;29.05;52.07;59.07;156.03;65.95
"2013-09-05";8.46;38.53;47.7;41.28;27.67;28.84;51.82;59.58;156.55;65.7
"2013-09-06";8.49;38.89;48.19;41.67;27.83;29;51.73;59.59;157.94;66.88
"2013-09-09";8.59;40.14;48.94;41.86;28.62;29.12;51.89;60.41;161.19;67.86
"2013-09-10";8.59;40.92;49.2;42.31;28.65;29.19;52;61.74;165.57;68.61
"2013-09-11";8.48;40.57;49.56;42.35;29.23;28.92;51.39;61.44;167.69;68.36
"2013-09-12";8.44;40.51;49.29;42.55;29.29;28.65;50.96;61.47;167.72;68.05
"2013-09-13";8.54;40.36;49.31;42.22;29.31;28.55;51.12;61.34;167.97;67.84
"2013-09-16";8.51;40.4;49.84;42.62;29.49;28.56;51.4;61.91;167.78;68
"2013-09-17";8.5;40.68;49.85;42.76;29.45;28.81;52.02;62.59;169.36;68.53
"2013-09-18";8.48;40.62;50.11;43.14;29.87;29.65;53.39;63.4;170.09;68.33
"2013-09-19";8.4;40.77;49.84;43.06;29.48;29.73;53.63;63.21;168.56;68.52
"2013-09-20";8.38;40.6;49.9;41.85;29.21;29.89;52.96;62.98;166.64;68.48
"2013-09-23";8.49;40.28;49.44;41.88;28.98;30.44;53.57;62.51;165.69;67.88
"2013-09-24";8.73;40.47;49.52;41.6;29.23;30.36;53.41;62.7;167.07;67.83
"2013-09-25";8.73;40.92;49.86;41.67;29.27;30.37;52.68;63;164.78;68.55
"2013-09-26";8.76;40.93;50.34;41.51;29.35;30.53;53.15;63.63;167.5;69.04
"2013-09-27";8.66;40.99;50.41;41.41;29.03;30.51;52.8;63.35;166.66;68.88
"2013-09-30";8.81;40.97;50.99;40.71;28.83;30.63;52.87;63.81;167.91;69.1
"2013-10-01";9.14;41.82;50.62;41.6;29.12;30.69;52.76;64.85;171.29;69.37
"2013-10-02";9.49;41.47;56.4;42.06;28.89;30.62;52.88;64.3;171.68;68.9
"2013-10-03";9.79;41.21;56.92;41.8;28.29;30.3;52.29;63.56;170;68.08
"2013-10-04";9.97;41.74;56.84;41.85;28.31;30.39;52.35;63.49;172.28;68.47
"2013-10-07";9.95;41.3;54.74;41.12;27.82;30.57;51.79;63.16;171.65;67.84
"2013-10-08";9.51;40.86;53.65;40.86;27.39;30.5;52.2;62.83;167.6;67.28
"2013-10-09";9.51;40.86;54.21;40.28;27.76;30.78;52.61;61.94;161.29;67.6
"2013-10-10";9.99;41.92;55.09;40.87;28.26;31.38;53.59;63.64;161.74;68.68
"2013-10-11";10.07;42.02;55.16;41.26;28.4;31.57;53.77;64.36;162.31;69.71
"2013-10-14";10.91;41.74;55.4;41.7;28.37;31.42;53.47;64.85;165.72;70.14
