"";"AAPL";"AXP";"BA";"CAT";"CSCO";"CVX";"DD";"DIS";"GE";"GS";"HD";"IBM";"INTC";"JNJ";"JPM";"KO";"MCD";"MMM";"MRK";"MSFT";"NKE";"PFE";"PG";"TRV";"UNH";"UTX";"V";"VZ";"WMT";"XOM"
"2010-02-25";27,21968;35,35785;56,04921;50,02826;21,885;60,92686;28,49189;29,30804;13,45392;146,34416;27,57017;115,19015;17,42441;53,7423;35,98019;22,78462;54,87547;70,48148;29,80323;25,01396;30,75378;14,66436;54,00686;46,04064;31,02627;61,18009;20,51246;20,90668;47,59056;57,13951
"2010-02-26";27,57274;35,49727;56,30775;50,2573;21,885;61,0874;28,66189;29,19589;13,57223;146,58794;27,4295;115,27174;17,33995;53,50451;37,15769;22,61305;54,42372;70,84388;30,05587;25,07518;31,42315;14,5483;53,65076;45,90099;31,40656;61,16227;20,52449;20,94288;47,52025;57,0167
"2010-03-01";28,16159;35,44151;57,05661;50,96204;22,12787;61,51831;28,92539;29,47626;13,43702;146,76605;27,63171;116,54992;17,62712;53,83572;37,03374;22,84896;54,53453;71,22395;30,37371;25,3813;31,72065;14,71409;53,84576;46,32867;31,57352;62,04429;20,89513;20,98631;47,37084;57,36758
"2010-03-02";28,14273;35,68317;57,44888;51,22633;22,13686;61,94921;28,92539;29,79402;13,43702;148,83807;27,57017;115,50742;17,48353;53,87819;36,84782;22,86183;54,61124;71,71009;30,4715;24,89151;31,62303;14,58975;54,01533;46,51196;31,49004;62,14229;20,80608;21,18177;47,09839;57,44652
"2010-03-03";28,20741;35,58093;57,45779;51,59632;22,34375;61,78868;29,12089;29,56972;13,54688;147,87239;27,66687;115,01791;17,3315;53,84422;36,76814;23,13206;54,2362;71,59519;30,32481;24,89151;31,44174;14,35764;53,87968;46,36358;31,62917;62,00865;20,89031;21,08766;47,15991;57,39389
"2010-03-04";28,39337;36,14792;58,43846;51,49061;22,44269;61,74644;29,37589;30,43887;13,61449;153,39464;27,6405;114,87287;17,33995;53,98859;37,11342;23,36368;54,06572;71,61286;30,26776;25,0402;31,56308;14,36593;53,98142;46,73889;30,5625;62,69467;20,94807;21,18901;47,42357;57,36758
"2010-03-05";29,50371;37,36555;60,56025;52,17773;22,67657;62,77723;29,72438;31,04634;13,81731;156,74173;27,95699;115,35332;17,55955;54,38776;37,90138;23,46233;54,27029;72,868;30,553;25,00521;31,88511;14,49027;53,99837;47,07928;31,29526;63,47869;21,30186;21,16006;47,58177;58,30616
"2010-03-08";29,52123;36,9101;59,9451;51,89584;23,50411;63,0645;30,06438;31,0183;13,7497;159,23564;28,09765;114,59186;17,54266;54,52364;37,7066;23,35938;55,50623;71,86919;30,4389;25,0402;32,11846;14,38251;53,57446;47,24614;30,70163;63,04213;21,81208;21,44962;47,59056;58,31493
"2010-03-09";30,05215;36,90081;60,43544;52,13369;23,50411;62,77723;29,96238;31,13045;13,93562;158,30746;28,05869;113,81226;17,68624;54,58308;37,55609;23,23929;55,48918;72,47024;30,18627;25,18888;32,1698;14,28303;53,66772;47,04416;30,68308;63,95088;21,69656;21,65232;47,51146;58,57808
"2010-03-10";30,2974;36,9194;62,41459;51,78131;23,27024;62,48996;29,91988;31,14914;13,95253;161,20453;28,08525;113,87571;17,89739;54,60007;38,00762;23,24787;55,3528;72,09016;29,88473;25,33756;32,25847;14,21671;53,42185;46,44699;30,83148;63,95979;22,02628;21,53649;47,39921;58,96404
"2010-03-11";30,38634;37,2819;62,46808;51,88703;23,36019;62,5153;30,04738;31,59773;13,92717;162,6765;28,45725;115,6706;17,94807;54,54063;38,22895;23,17867;55,58294;71,825;30,37059;25,52123;32,55249;14,33277;53,5575;47,08807;31,07264;64,18252;22,3199;21,60164;47,69971;58,96404
"2010-03-12";30,53456;37,88607;62,25412;53,17319;23,27923;62,28718;30,16638;31,48558;14,40043;164,03598;28,74067;115,97881;17,96496;54,50665;38,20239;23,07056;55,8557;71,93107;30,60117;25,59995;32,6225;14,15869;53,68468;46,6841;30,52539;63,72815;22,44265;21,52201;47,63784;58,59563
"2010-03-15";30,16265;37,8303;61,87077;52,38916;23,45914;62,16044;30,15788;31,51362;14,6117;162,69525;28,95323;115,8791;17,8805;54,83787;38,13157;23,2003;56,19665;71,825;31,08704;25,61744;32,85118;14,3079;54,00686;46,30648;30,17293;64,00433;22,24048;21,61612;48,98125;58,15704
"2010-03-16";30,24485;38,03478;61,26454;52,37154;23,5221;62,50686;30,54888;31,54166;15,27087;165,18918;28,82924;116,64056;18,58998;54,8039;38,28207;23,22192;56,31598;72,17856;31,2435;25,68741;32,84652;14,3079;53,86272;46,41187;30,65525;64,50326;22,05757;21,6668;49,48503;58,39388
"2010-03-17";30,20037;38,11844;61,85293;53,04986;23,62105;63,08985;31,01638;31,54166;15,24552;165,61107;28,80267;115,81564;18,78424;54,90582;38,76901;23,28246;56,58021;72,63818;31,35879;25,91481;33,07987;14,26645;54,26968;46,53481;30,37699;64,31616;22,02388;21,82605;49,42316;59,08685
"2010-03-18";30,2718;38,10915;63,18129;52,65344;23,69301;63,16589;31,50938;31,56969;15,37229;166,3705;28,69638;116,37768;18,75046;55,25402;38,63621;23,33003;56,83592;73,95518;31,66348;25,89732;34,84401;14,28303;54,03229;46,8773;31,15612;64,59235;21,69175;21,93464;49,44083;59,11316
"2010-03-19";29,94839;37,48639;63,04756;52,30106;23,5221;63,35178;31,33088;31,43885;15,27087;166,7924;28,66096;115,77032;18,57309;55,29648;38,46799;23,67598;56,70807;72,44373;31,34232;25,87983;34,31196;14,01776;54,12555;46,94756;31,89816;65,25163;21,38128;22,01427;48,91054;58,80615
"2010-03-22";30,28527;38,18351;64,10846;52,81201;23,63904;62,91242;32,12138;31,72857;15,27087;165,16106;28,93552;116,01508;18,78424;55,28799;38,72474;23,58517;57,11721;72,33765;31,53996;25,88857;34,47997;14,21671;54,15947;46,88609;30,88713;64,69035;21,47755;22,18801;49,15801;58,74475
"2010-03-23";30,77172;38,33223;64,34916;54,97911;23,96286;63,17434;32,56337;31,78464;15,4906;163,91409;28,86466;117,27512;19,14742;55,5088;39,46843;23,91382;57,40701;72,78844;31,70466;26,13346;34,76466;14,54001;54,71055;47,33396;30,75728;65,11799;21,65565;22,4269;49,39664;58,7272
"2010-03-24";30,90782;38,11844;64,47398;54,67078;23,79195;62,46461;32,95437;32,13978;15,59201;163,52031;28,62553;116,51365;18,94472;54,99074;39,78715;23,61976;56,93821;72,13436;31,30114;25,9323;34,24662;14,59804;53,93055;47,47447;30,34916;65,07345;21,35962;22,05047;49,12266;58,33247
"2010-03-25";30,5413;38,49953;64,62553;54,74125;23,77396;62,35477;32,15538;32,79398;15,46525;163,97971;28,89123;117,15728;18,87715;54,83787;39,78715;23,6976;57,02345;71,53332;31,11174;26,24716;34,3353;14,41567;53,93903;47,49203;30,72018;65,27836;21,75914;21,94188;49,14917;58,15704
"2010-03-26";31,11399;38,22068;64,71468;55,00553;23,80994;62,88707;32,03637;32,99958;15,49905;162,07646;29,00637;117,1754;18,78424;54,67651;39,85798;23,63273;57,3303;71,59519;30,82352;25,94105;34,48464;14,20842;53,99837;47,72914;30,26568;65,59019;21,72063;21,98532;49,06079;58,36756
"2010-03-29";31,31477;38,5553;66,06978;55,9217;23,84592;63,56301;32,06187;32,8594;15,54976;163,18279;28,87352;116,56804;18,86025;55,05019;39,71632;23,68463;57,16835;71,91339;31,20233;25,87983;34,52198;14,32448;54,03229;48,08919;30,46047;65,92874;21,71822;22,04323;49,26407;59,03422
"2010-03-30";31,78101;38,54597;65,5527;55,6398;23,97186;63,62215;32,11287;32,80332;15,46525;160,6795;28,95323;116,73122;18,8687;55,11813;39,46843;23,72787;57,31325;74,49435;31,01292;26,03726;34,4473;14,3079;53,97294;47,3603;30,66453;66,04456;21,90113;22,60788;49,41432;58,81493
"2010-03-31";31,66647;38,51796;64,73251;55,36671;23,41416;64,06995;31,65388;32,62576;15,38074;159,97633;28,6521;116,25983;18,82647;55,37291;39,61893;23,78409;56,87002;73,86679;30,75764;25,61744;34,30263;14,21671;53,64229;47,36908;30,30278;65,58128;21,90835;22,45586;49,14034;58,75352
"2010-04-01";31,79718;38,92872;65,07128;56,37098;23,23426;64,79659;32,22337;33,22388;15,4906;159,59192;28,67867;116,25983;18,91093;55,857;40,04437;23,91382;57,60305;74,11428;31,0541;25,50374;34,54065;14,15869;53,71859;47,35152;30,62772;66,04456;22,27418;22,64408;49,04312;59,30614
"2010-04-05";32,13675;39,83425;64,22435;57,25191;23,54009;65,61615;32,65687;32,91547;15,65962;162,34836;28,92666;117,257;19,07985;55,54277;40,18618;23,72355;57,98662;74,4148;30,79058;25,59995;34,58732;14,00947;54,05772;46,8334;30,76698;66,68603;22,25492;22,77439;49,04312;59,81491
"2010-04-06";32,27824;40,25434;64,50964;57,5162;23,58507;65,80202;32,98837;33,14912;15,71877;162,10458;28,82924;116,87625;18,91938;55,46634;40,62935;23,47706;57,7991;74,55622;30,67529;25,64368;34,49398;14,05921;53,50663;46,18354;31,01765;66,52566;22,23808;22,58617;49,07847;59,56053
"2010-04-07";32,42107;39,55419;64,27784;56,79383;23,69301;65,37112;32,97137;33,00893;15,63426;165,34856;28,88238;116,46832;18,96161;55,3899;40,16846;23,27381;57,70533;73,94634;30,29648;25,66992;34,34463;14,1504;52,98946;46,1045;30,57202;65,91983;21,83134;22,22964;48,85751;59,0693
"2010-04-08";32,33348;40,78646;64,43831;56,80264;23,63904;65,61615;33,26887;33,33603;15,68497;168,29251;29,20123;115,67966;18,84336;55,14361;40,55844;23,24786;58,60885;73,31877;30,28824;26,16845;34,53131;14,20842;53,04033;45,89374;30,28422;65,66146;22,01906;22,17083;48,9459;59,52544
"2010-04-09";32,58143;40,96384;64,56313;57,49857;23,92688;67,17079;33,31137;33,85004;15,65117;167,93623;29,44922;116,72215;19,04607;55,32196;40,75343;23,60679;58,54066;73,79607;30,44471;26,53579;35,08669;14,29961;53,18446;46,01669;29,94999;65,91983;22,26695;22,11202;48,67191;60,3149
"2010-04-12";32,64881;41,57998;64,11737;58,78474;23,86391;67,95657;33,06487;33,54163;15,81173;166,73615;29,65293;116,35955;19,03762;55,29648;40,89525;23,6803;58,4128;73,61046;30,34589;26,5183;35,25003;14,33277;53,15902;45,68298;29,94999;65,71492;22,42821;22,00911;48,62772;60,27104
"2010-04-13";32,66767;42,00007;63,46657;58,30904;23,78296;67,77068;32,81837;33,4949;16,01456;168,05812;30,41462;116,9669;19,23189;55,78057;40,65594;23,79274;58,74522;74,19383;30,22236;26,63199;35,2407;14,24158;53,41337;45,85862;29,85715;65,44764;22,33194;22,10467;48,36258;60,22718
"2010-04-14";33,10696;43,37238;63,92123;59,26925;24,17874;68,08331;33,03937;33,83135;16,3526;173,3741;30,98146;118,97935;19,86535;55,61921;42,30451;23,76247;59,17141;74,59158;29,81885;26,9556;35,37605;14,1504;53,57446;46,46456;28,82664;65,92874;22,68572;21,94295;48,29187;60,18332
"2010-04-15";33,5422;43,56842;64,26892;60,09734;24,47558;68,93666;33,43037;34,01826;16,47936;172,76468;31,12317;118,65302;20,45658;55,63619;42,37542;23,46408;58,9498;75,13075;29,67886;26,99933;35,30137;14,08408;53,41337;46,43821;28,43671;66,47221;22,73145;21,71507;47,84112;59,87631
"2010-04-16";33,33738;42,10276;63,10997;58,91688;24,26869;68,22694;32,86087;33,48556;16,03146;150,66632;31,00803;118,41733;20,20319;55,22004;40,37231;23,77111;58,83899;74,03473;29,4071;26,82441;35,08202;13,92658;53,2862;45,78836;28,52955;65,65256;22,58705;21,74447;47,82344;59,58684
"2010-04-19";33,29291;42,7189;63,26152;59,01378;24,34965;68,70854;33,46437;33,80331;16,00611;153,12274;31,14974;119,86774;20,27076;56,07782;40,2305;23,92247;59,5976;74,15848;29,56357;27,14802;35,27337;13,91829;53,5999;46,71045;28,99375;65,71492;22,41136;21,85474;48,07092;59,85
"2010-04-20";32,95873;43,12966;63,6627;59,46306;24,44859;69,32533;33,28587;34,1491;16,05681;149,99127;31,1586;117,56521;20,37212;56,04384;40,6648;23,5549;59,95559;75,3694;29,69533;27,42789;35,6374;13,89342;53,57446;46,69288;28,76165;66,10693;22,63518;21,87679;48,18581;60,49911
"2010-04-21";34,93014;42,93362;66,11436;59,6833;24,50256;69,21548;33,20937;34,16779;16,08217;149,00684;31,23832;116,93065;20,10184;55,53428;40,19505;23,43381;59,97264;75,74947;28,60831;27,40166;35,80541;13,76079;53,94751;46,36796;28,09321;68,53916;22,41376;21,72977;48,14162;60,45525
"2010-04-22";35,90708;43,66178;67,38921;59,84285;24,57452;68,60715;33,54937;34,3734;16,01456;149,11935;31,63688;117,05756;20,26232;55,01622;39,65439;23,48571;60,54372;76,05885;27,80952;27,45413;36,51013;13,66131;53,91359;47,23736;28,27888;68,0937;22,89751;21,52394;48,1593;60,13946
"2010-04-23";36,49459;44,85671;66,97911;60,96862;24,70945;69,84917;34,18687;34,38274;16,11597;147,57236;32,23029;117,83716;20,30455;55,23703;39,83165;23,29976;60,64601;76,52731;29,20123;27,07805;36,35612;14,01776;53,8712;46,8773;28,7338;68,12933;23,24649;21,35487;48,19465;60,73594
