"";"AAPL";"AXP";"BA";"CAT";"CSCO";"CVX";"DD";"DIS";"GE";"GS";"HD";"IBM";"INTC";"JNJ";"JPM";"KO";"MCD";"MMM";"MRK";"MSFT";"NKE";"PFE";"PG";"TRV";"UNH";"UTX";"V";"VZ";"WMT";"XOM";"GSPC"
"2014-04-03";75,22249;89,89457;124,97334;98,90574;22,41489;114,83411;66,21894;80,66476;25,32413;163,9736;77,76807;186,42522;25,47428;95,62778;59,06074;36,94843;94,38809;132,96281;54,52867;39,93211;73,11224;31,02688;77,06293;83,12838;80,9416;117,22708;53,34916;45,50366;75,12643;95,18781;19,1879
"2014-04-04";74,24938;88,10616;123,61472;98,53924;22,046;114,60258;65,56657;79,42056;25,12138;161,15993;77,10205;185,53513;25,23313;95,78349;58,23315;37,09402;94,59106;132,68935;54,44136;38,82207;71,97588;30,79705;76,74544;83,34358;80,23306;115,67085;51,53538;45,42801;74,98095;94,63377;19,2443
"2014-04-07";73,08361;85,56682;121,87763;97,51691;22,18191;113,19417;65,00185;78,13688;24,95725;156,53955;75,54472;188,19572;25,55144;95,26769;57,4445;37,48223;93,75987;131,26341;53,53918;38,75391;69,98973;29,87774;77,43814;83,14794;79,79021;113,71331;50,47092;45,50366;74,98095;94,07;19,2349
"2014-04-08";73,07941;85,45813;120,4802;98,75142;22,26928;113,63792;65,03107;78,57136;24,8607;154,56503;75,52514;187,00571;25,95656;95,43314;57,29846;37,75398;94,79402;131,69315;53,39367;38,77339;72,05494;29,56173;78,26553;82,88383;79,3769;113,31201;50,26746;46,09648;75,82475;94,72124;19,2726
"2014-04-09";74,03996;87,66153;123,1295;99,33009;22,44402;114,89198;65,74184;79,46007;25,0538;156,14465;76,16178;190,2468;26,02408;96,29929;57,70739;37,84133;95,05497;132,66982;55,39204;39,40631;72,68734;29,90647;78,40022;83,95007;80,09528;114,55505;51,49567;45,87656;75,62107;94,60461;19,376
"2014-04-10";73,085;84,34161;119,98528;98,62605;21,98776;112,56714;64,71949;76,53722;24,69658;153,99243;75,20192;189,31799;25,49357;93,95386;55,88669;37,74428;96,09879;130,84346;54,17943;38,32548;71,59051;29,31274;78,01539;83,13816;78,71755;112,1277;50,00941;45,38892;74,5736;94,07;19,4889
"2014-04-11";72,5447;83,5314;118,46169;97,84483;21,80331;112,89512;64,34949;76,04349;24,55176;150,77397;74,14412;188,84393;25,25243;94,27502;53,84205;37,49194;95,96349;129,30032;54,24734;38,17942;70,40475;28,59453;77,69791;83,44141;77,69409;111,51108;48,78864;45,00646;74,19535;94,01169;19,376
"2014-04-14";72,83369;84,47994;119,6068;99,12756;22,18191;114,50611;64,83633;76,64584;24,82208;152,76823;74,40857;191,34006;25,61896;94,53778;53,51102;37,58899;96,75601;130,04259;53,90781;38,15021;71,52134;28,6041;77,746;83,63705;77,92044;112,49963;49,87543;45,19769;75,04884;95,11977;19,3981
"2014-04-15";72,31434;85,0135;120,59666;98,85751;22,22074;116,04959;65,13817;76,68533;24,92829;152,94594;74,33022;190,61444;25,82152;96,54259;53,35524;38,99627;97,45189;130,96065;54,37345;38,70523;71,42253;28,62326;77,77486;84,01855;78,24519;113,38052;50,62973;44,86303;74,5639;95,9168;19,4231
"2014-04-16";72,46093;86,35728;122,31434;99,85676;22,35665;117,52553;65,93658;77,95914;25,21793;155,21663;75,00603;190,01459;25,97585;96,10465;53,8031;39,3942;97,45189;133,57811;54,57717;39,33815;72,2328;28,81478;78,55416;84,88916;76,94619;115,56318;51,94726;45,03514;74,89366;97,14153;19,5171
